,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
21,10 years of Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,68710.159,Statutory working time required at school,Hours per year,1338.93273,51.31711060644548
22,10 years of Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,68710.159,Statutory teaching time,Hours per year,767.75066,89.49540857444525
23,10 years of Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,68710.159,Statutory working time required at school,Hours per year,1338.93273,51.31711060644548
24,15 years of Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,68889.494,Statutory teaching time,Hours per year,767.75066,89.7289935250593
25,15 years of Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,68889.494,Statutory working time required at school,Hours per year,1338.93273,51.45104937422809
26,15 years of Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,68889.494,Statutory teaching time,Hours per year,767.75066,89.7289935250593
27,15 years of Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,68889.494,Statutory working time required at school,Hours per year,1338.93273,51.45104937422809
28,Maximum Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,77027.765,Statutory teaching time,Hours per year,767.75066,100.3291420159769
29,Maximum Experience,Australia,Pre-primary education,Minimum qualification at this stage of career,77027.765,Statutory working time required at school,Hours per year,1338.93273,57.529227028455715
30,Maximum Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,77027.765,Statutory teaching time,Hours per year,767.75066,100.3291420159769
31,Maximum Experience,Australia,Pre-primary education,Most prevalent qualification at this stage of career,77027.765,Statutory working time required at school,Hours per year,1338.93273,57.529227028455715
32,No Experience,Australia,Primary education,Minimum qualification at this stage of career,47990.993,Statutory teaching time,Hours per year,860.07598,55.7985504955039
33,No Experience,Australia,Primary education,Minimum qualification at this stage of career,47990.993,Statutory working time required at school,Hours per year,1232.7784,38.92913195104652
34,No Experience,Australia,Primary education,Most prevalent qualification at this stage of career,47990.993,Statutory teaching time,Hours per year,860.07598,55.7985504955039
35,No Experience,Australia,Primary education,Most prevalent qualification at this stage of career,47990.993,Statutory working time required at school,Hours per year,1232.7784,38.92913195104652
36,10 years of Experience,Australia,Primary education,Minimum qualification at this stage of career,67948.848,Statutory teaching time,Hours per year,860.07598,79.00330852164944
37,10 years of Experience,Australia,Primary education,Minimum qualification at this stage of career,67948.848,Statutory working time required at school,Hours per year,1232.7784,55.11846086855513
38,10 years of Experience,Australia,Primary education,Most prevalent qualification at this stage of career,67948.848,Statutory teaching time,Hours per year,860.07598,79.00330852164944
39,10 years of Experience,Australia,Primary education,Most prevalent qualification at this stage of career,67948.848,Statutory working time required at school,Hours per year,1232.7784,55.11846086855513
40,15 years of Experience,Australia,Primary education,Minimum qualification at this stage of career,69512.772,Statutory teaching time,Hours per year,860.07598,80.82166415111372
41,15 years of Experience,Australia,Primary education,Minimum qualification at this stage of career,69512.772,Statutory working time required at school,Hours per year,1232.7784,56.387078164250774
42,15 years of Experience,Australia,Primary education,Most prevalent qualification at this stage of career,69512.772,Statutory teaching time,Hours per year,860.07598,80.82166415111372
43,15 years of Experience,Australia,Primary education,Most prevalent qualification at this stage of career,69512.772,Statutory working time required at school,Hours per year,1232.7784,56.387078164250774
44,Maximum Experience,Australia,Primary education,Minimum qualification at this stage of career,75485.622,Statutory teaching time,Hours per year,860.07598,87.76622502584017
45,Maximum Experience,Australia,Primary education,Minimum qualification at this stage of career,75485.622,Statutory working time required at school,Hours per year,1232.7784,61.23210951781765
46,Maximum Experience,Australia,Primary education,Most prevalent qualification at this stage of career,75485.622,Statutory teaching time,Hours per year,860.07598,87.76622502584017
47,Maximum Experience,Australia,Primary education,Most prevalent qualification at this stage of career,75485.622,Statutory working time required at school,Hours per year,1232.7784,61.23210951781765
48,No Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,47989.827,Statutory teaching time,Hours per year,838.76215,57.21506031239011
49,No Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,47989.827,Statutory working time required at school,Hours per year,1223.77691,39.21452235930811
50,No Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,47989.827,Statutory teaching time,Hours per year,838.76215,57.21506031239011
51,No Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,47989.827,Statutory working time required at school,Hours per year,1223.77691,39.21452235930811
52,10 years of Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,67817.578,Statutory teaching time,Hours per year,838.76215,80.8543613943476
53,10 years of Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,67817.578,Statutory working time required at school,Hours per year,1223.77691,55.41661837695564
54,10 years of Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,67817.578,Statutory teaching time,Hours per year,838.76215,80.8543613943476
55,10 years of Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,67817.578,Statutory working time required at school,Hours per year,1223.77691,55.41661837695564
56,15 years of Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,69368.953,Statutory teaching time,Hours per year,838.76215,82.70396202308365
57,15 years of Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,69368.953,Statutory working time required at school,Hours per year,1223.77691,56.68431266610512
58,15 years of Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,69368.953,Statutory teaching time,Hours per year,838.76215,82.70396202308365
59,15 years of Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,69368.953,Statutory working time required at school,Hours per year,1223.77691,56.68431266610512
60,Maximum Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,75602.845,Statutory teaching time,Hours per year,838.76215,90.13621442026205
61,Maximum Experience,Australia,Upper secondary general education,Minimum qualification at this stage of career,75602.845,Statutory working time required at school,Hours per year,1223.77691,61.77829012969365
62,Maximum Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,75602.845,Statutory teaching time,Hours per year,838.76215,90.13621442026205
63,Maximum Experience,Australia,Upper secondary general education,Most prevalent qualification at this stage of career,75602.845,Statutory working time required at school,Hours per year,1223.77691,61.77829012969365
64,No Experience,Austria,Lower secondary general education,Maximum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,622.64,79.7354089040216
65,No Experience,Austria,Lower secondary general education,Minimum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,622.64,79.7354089040216
66,No Experience,Austria,Lower secondary general education,Most prevalent qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,622.64,79.7354089040216
67,10 years of Experience,Austria,Lower secondary general education,Maximum qualification at this stage of career,55135.486,Statutory teaching time,Hours per year,622.64,88.55114673005268
68,10 years of Experience,Austria,Lower secondary general education,Minimum qualification at this stage of career,55135.486,Statutory teaching time,Hours per year,622.64,88.55114673005268
69,10 years of Experience,Austria,Lower secondary general education,Most prevalent qualification at this stage of career,55135.486,Statutory teaching time,Hours per year,622.64,88.55114673005268
70,15 years of Experience,Austria,Lower secondary general education,Maximum qualification at this stage of career,59943.722,Statutory teaching time,Hours per year,622.64,96.27348387511243
71,15 years of Experience,Austria,Lower secondary general education,Minimum qualification at this stage of career,59943.722,Statutory teaching time,Hours per year,622.64,96.27348387511243
72,15 years of Experience,Austria,Lower secondary general education,Most prevalent qualification at this stage of career,59943.722,Statutory teaching time,Hours per year,622.64,96.27348387511243
73,Maximum Experience,Austria,Lower secondary general education,Maximum qualification at this stage of career,92040.509,Statutory teaching time,Hours per year,622.64,147.82299402544007
74,Maximum Experience,Austria,Lower secondary general education,Minimum qualification at this stage of career,92040.509,Statutory teaching time,Hours per year,622.64,147.82299402544007
75,Maximum Experience,Austria,Lower secondary general education,Most prevalent qualification at this stage of career,92040.509,Statutory teaching time,Hours per year,622.64,147.82299402544007
76,No Experience,Austria,Primary education,Maximum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,796.4,62.338592415871425
77,No Experience,Austria,Primary education,Minimum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,796.4,62.338592415871425
78,No Experience,Austria,Primary education,Most prevalent qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,796.4,62.338592415871425
79,10 years of Experience,Austria,Primary education,Maximum qualification at this stage of career,52625.157,Statutory teaching time,Hours per year,796.4,66.0788008538423
80,10 years of Experience,Austria,Primary education,Minimum qualification at this stage of career,52625.157,Statutory teaching time,Hours per year,796.4,66.0788008538423
81,10 years of Experience,Austria,Primary education,Most prevalent qualification at this stage of career,52625.157,Statutory teaching time,Hours per year,796.4,66.0788008538423
82,15 years of Experience,Austria,Primary education,Maximum qualification at this stage of career,58909.605,Statutory teaching time,Hours per year,796.4,73.96987066800604
83,15 years of Experience,Austria,Primary education,Minimum qualification at this stage of career,58909.605,Statutory teaching time,Hours per year,796.4,73.96987066800604
84,15 years of Experience,Austria,Primary education,Most prevalent qualification at this stage of career,58909.605,Statutory teaching time,Hours per year,796.4,73.96987066800604
85,Maximum Experience,Austria,Primary education,Maximum qualification at this stage of career,86525.813,Statutory teaching time,Hours per year,796.4,108.64617403314917
86,Maximum Experience,Austria,Primary education,Minimum qualification at this stage of career,86525.813,Statutory teaching time,Hours per year,796.4,108.64617403314917
87,Maximum Experience,Austria,Primary education,Most prevalent qualification at this stage of career,86525.813,Statutory teaching time,Hours per year,796.4,108.64617403314917
88,No Experience,Austria,Upper secondary general education,Maximum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,591.87,83.88067481034687
89,No Experience,Austria,Upper secondary general education,Minimum qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,591.87,83.88067481034687
90,No Experience,Austria,Upper secondary general education,Most prevalent qualification at this stage of career,49646.455,Statutory teaching time,Hours per year,591.87,83.88067481034687
91,10 years of Experience,Austria,Upper secondary general education,Maximum qualification at this stage of career,59852.2,Statutory teaching time,Hours per year,591.87,101.12389545001436
92,10 years of Experience,Austria,Upper secondary general education,Minimum qualification at this stage of career,59852.2,Statutory teaching time,Hours per year,591.87,101.12389545001436
93,10 years of Experience,Austria,Upper secondary general education,Most prevalent qualification at this stage of career,59852.2,Statutory teaching time,Hours per year,591.87,101.12389545001436
94,15 years of Experience,Austria,Upper secondary general education,Maximum qualification at this stage of career,61853.703,Statutory teaching time,Hours per year,591.87,104.50555527396219
95,15 years of Experience,Austria,Upper secondary general education,Minimum qualification at this stage of career,61853.703,Statutory teaching time,Hours per year,591.87,104.50555527396219
96,15 years of Experience,Austria,Upper secondary general education,Most prevalent qualification at this stage of career,61853.703,Statutory teaching time,Hours per year,591.87,104.50555527396219
97,Maximum Experience,Austria,Upper secondary general education,Maximum qualification at this stage of career,102120.12,Statutory teaching time,Hours per year,591.87,172.5380911348776
98,Maximum Experience,Austria,Upper secondary general education,Minimum qualification at this stage of career,102120.12,Statutory teaching time,Hours per year,591.87,172.5380911348776
99,Maximum Experience,Austria,Upper secondary general education,Most prevalent qualification at this stage of career,102120.12,Statutory teaching time,Hours per year,591.87,172.5380911348776
100,No Experience,Brazil,Lower secondary general education,Minimum qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
101,No Experience,Brazil,Lower secondary general education,Most prevalent qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
102,No Experience,Brazil,Pre-primary education,Minimum qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
103,No Experience,Brazil,Pre-primary education,Most prevalent qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
104,No Experience,Brazil,Primary education,Minimum qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
105,No Experience,Brazil,Primary education,Most prevalent qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
106,No Experience,Brazil,Upper secondary general education,Minimum qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
107,No Experience,Brazil,Upper secondary general education,Most prevalent qualification at this stage of career,20261.377,Statutory teaching time,Hours per year,800.0,25.326721250000002
108,No Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,39165.592,Statutory teaching time,Hours per year,836.0,46.8487942583732
109,No Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,39165.592,Total statutory working time,Hours per year,1720.0,22.770693023255813
110,No Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,39165.592,Statutory working time required at school,Hours per year,1152.0,33.99790972222222
111,No Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,836.0,27.991667464114833
112,No Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
113,No Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
114,No Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,836.0,27.991667464114833
115,No Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
116,No Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
117,10 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,836.0,79.49141028708134
118,10 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
119,10 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
120,10 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
121,10 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
122,10 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
123,10 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
124,10 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
125,10 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
126,15 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,836.0,79.49141028708134
127,15 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
128,15 years of Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
129,15 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
130,15 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
131,15 years of Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
132,15 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,836.0,51.04872129186603
133,15 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
134,15 years of Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
135,Maximum Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,88410.558,Statutory teaching time,Hours per year,836.0,105.75425598086125
136,Maximum Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,88410.558,Total statutory working time,Hours per year,1720.0,51.40148720930233
137,Maximum Experience,Colombia,Lower secondary general education,Maximum qualification at this stage of career,88410.558,Statutory working time required at school,Hours per year,1152.0,76.74527604166667
138,Maximum Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,49078.186,Statutory teaching time,Hours per year,836.0,58.70596411483254
139,Maximum Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,49078.186,Total statutory working time,Hours per year,1720.0,28.533829069767442
140,Maximum Experience,Colombia,Lower secondary general education,Minimum qualification at this stage of career,49078.186,Statutory working time required at school,Hours per year,1152.0,42.60259201388889
141,Maximum Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,49078.186,Statutory teaching time,Hours per year,836.0,58.70596411483254
142,Maximum Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,49078.186,Total statutory working time,Hours per year,1720.0,28.533829069767442
143,Maximum Experience,Colombia,Lower secondary general education,Most prevalent qualification at this stage of career,49078.186,Statutory working time required at school,Hours per year,1152.0,42.60259201388889
144,No Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,39165.592,Statutory teaching time,Hours per year,760.0,51.53367368421052
145,No Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,39165.592,Total statutory working time,Hours per year,1720.0,22.770693023255813
146,No Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,39165.592,Statutory working time required at school,Hours per year,1152.0,33.99790972222222
147,No Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,19194.557,Statutory teaching time,Hours per year,760.0,25.25599605263158
148,No Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,19194.557,Total statutory working time,Hours per year,1720.0,11.159626162790698
149,No Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,19194.557,Statutory working time required at school,Hours per year,1152.0,16.661941840277777
150,No Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,760.0,30.790834210526317
151,No Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
152,No Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
153,10 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,760.0,87.44055131578948
154,10 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
155,10 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
156,10 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,760.0,49.83614473684211
157,10 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
158,10 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
159,10 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,760.0,56.15359342105263
160,10 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
161,10 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
162,15 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,760.0,87.44055131578948
163,15 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
164,15 years of Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
165,15 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,760.0,49.83614473684211
166,15 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
167,15 years of Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
168,15 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,760.0,56.15359342105263
169,15 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
170,15 years of Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
171,Maximum Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,88410.558,Statutory teaching time,Hours per year,760.0,116.32968157894737
172,Maximum Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,88410.558,Total statutory working time,Hours per year,1720.0,51.40148720930233
173,Maximum Experience,Colombia,Pre-primary education,Maximum qualification at this stage of career,88410.558,Statutory working time required at school,Hours per year,1152.0,76.74527604166667
174,Maximum Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,760.0,49.83614473684211
175,Maximum Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
176,Maximum Experience,Colombia,Pre-primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
177,Maximum Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,49078.186,Statutory teaching time,Hours per year,760.0,64.57656052631579
178,Maximum Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,49078.186,Total statutory working time,Hours per year,1720.0,28.533829069767442
179,Maximum Experience,Colombia,Pre-primary education,Most prevalent qualification at this stage of career,49078.186,Statutory working time required at school,Hours per year,1152.0,42.60259201388889
180,No Experience,Colombia,Primary education,Maximum qualification at this stage of career,39165.592,Statutory teaching time,Hours per year,950.0,41.22693894736842
181,No Experience,Colombia,Primary education,Maximum qualification at this stage of career,39165.592,Total statutory working time,Hours per year,1720.0,22.770693023255813
182,No Experience,Colombia,Primary education,Maximum qualification at this stage of career,39165.592,Statutory working time required at school,Hours per year,1152.0,33.99790972222222
183,No Experience,Colombia,Primary education,Minimum qualification at this stage of career,19194.557,Statutory teaching time,Hours per year,950.0,20.204796842105264
184,No Experience,Colombia,Primary education,Minimum qualification at this stage of career,19194.557,Total statutory working time,Hours per year,1720.0,11.159626162790698
185,No Experience,Colombia,Primary education,Minimum qualification at this stage of career,19194.557,Statutory working time required at school,Hours per year,1152.0,16.661941840277777
186,No Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,23401.034,Statutory teaching time,Hours per year,950.0,24.632667368421053
187,No Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,23401.034,Total statutory working time,Hours per year,1720.0,13.605252325581395
188,No Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,23401.034,Statutory working time required at school,Hours per year,1152.0,20.313397569444444
189,10 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,950.0,69.95244105263158
190,10 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
191,10 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
192,10 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory teaching time,Hours per year,950.0,39.86891578947368
193,10 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Total statutory working time,Hours per year,1720.0,22.020622093023256
194,10 years of Experience,Colombia,Primary education,Minimum qualification at this stage of career,37875.47,Statutory working time required at school,Hours per year,1152.0,32.87801215277778
195,10 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Statutory teaching time,Hours per year,950.0,44.922874736842104
196,10 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Total statutory working time,Hours per year,1720.0,24.812052906976746
197,10 years of Experience,Colombia,Primary education,Most prevalent qualification at this stage of career,42676.731,Statutory working time required at school,Hours per year,1152.0,37.0457734375
198,15 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Statutory teaching time,Hours per year,950.0,69.95244105263158
199,15 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Total statutory working time,Hours per year,1720.0,38.63652267441861
200,15 years of Experience,Colombia,Primary education,Maximum qualification at this stage of career,66454.819,Statutory working time required at school,Hours per year,1152.0,57.68647482638889
